Institute name,Area,City,Course Focus,Aws and devops,Java full stack,Data science and AI,python,Target Audience,Faculty Expertise,Training Methodology,Placement Rate,Average Salary in lpa,Placement Support,Internship Opportunities,Certifications Offered,review out of 5,minfee,maxfee
social prachar,kphb,hyderabad,"java full stack,data science and ai,aws and devops,all full stack trainings,data analytics",Yes,Yes,Yes,Yes,eligible for every graduate,well qualified,online and  offline training,good,3.5,"resume preparation,linkedin  profile creation,soft skills training",yes,yes,4.7,20000.0,45000.0
veda it,jntu university,hyderabad,"java ful stack,data analytics,manual testing,python full stack,",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.0,soft skills training,yes,yes,3.9,50000.0,100000.0
crs info solutions,ammerpet,hyderabad,"devops automation,devops engineers,rpa training,mobile app development,data analytics,sales force administration trianing",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.5,"interview preparation,job placement assistance,maintainance services",yes,yes,4.0,5000.0,7000.0
naresh i technologies,ammerpet and kphb,hyderabad,"advanced java training,angular raining,azure devops,core java,data science,full sack ne core,ai,hadoop course,php with msql ,sql server raining,selenium,ui full sack,",Yes,Yes,Yes,Yes,freshers and experience and carrer gap,experience,online and  offline training,average,3.0,"job placement assistance,project training,resume preperation",yes,yes,4.5,1999.0,10000.0
sapfico infinity world,ammerpet,hyderabad,"software testing,sa fico training",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.3,"real time projects,resume preperation,interview training",no,yes,3.0,25000.0,75000.0
sivasoft technologies,ammerpet,hyderabad,"advanced excel training,java,angular js,aws,big data analytics,c language,data analysis,data science,database services,django,dtp training,graphic designing,mern stack,python,ui",Yes,Yes,Yes,Yes,eligible for every graduate,experience,online and  offline training,good,3.0,"resume preparation,linkedin  profile creation,portfolio website creation",yes,yes,4.0,7000.0,40000.0
sathya technologies,ammerpet,hyderabad,".net full stack developer,3d animation,amazon aws cloud,angular training,application designing,automated testing,block chain course,java,data analytics,data science,django course,handoop,python,ui",Yes,Yes,Yes,Yes,freshers and experience and carrer gap,experience,online and  offline training,average,3.0,"weekened training, workshops,jobs/soft skill training                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",,yes,,5000.0,25000.0
vagdevi technologies,ammerpet,hyderabad,"python,auto cad training,aws training,big data analytics,data science,django,full stack courses,graphic desiging,java,powerbi,sql,ui development",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.8,"industry connection,resume building assistance,mock interviews,carrer counselling",no,yes,3.5,15000.0,30000.0
ashok technologies,ammerpet,hyderabad,"java,spring boo,devops with aws,react js,python",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,2.7,"weekened training, workshops,jobs/soft skill training                                                                                                                                                                                                          ",yes,yes,4.3,8000.0,30000.0
dreams media solution,ammerpet,hyderabad,"2d drafting,3d modeling,3ds max,java,autocad,c languaga,python,graphic designing,machine learning,web designing",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,,no,yes,4.2,9000.0,12500.0
stansys software solutions,sr nagar,hyderabad,"azure,devops,machine learning,manual  tesing,sofware tesing,power bi",Yes,Yes,Yes,Yes,freshers and experience,experience,,average,3.0,"placement assistance,real word scenarios",no,yes,4.1,1000.0,3500.0
best it academy,kothapet,hyderabad,"data analytics ,r programming,data science,full stack development,java,powerbi,python,sql,web development",Yes,Yes,Yes,Yes,,experience,online and  offline training,good,3.0,placement assistance,no,yes,4.0,2000.0,10000.0
tcs ion trainig center,dilsukhnagar,hyderabad,"java,andriod,apache tomcat,big data hadoop,c++ programming,core java,data science,devops,msexcel,oracle,php,plsql,python,rpa,unix",Yes,Yes,Yes,Yes,corporates,experience,online and  offline training,,3.0,"carrer guidance,placement assistance",yes,yes,4.2,2000.0,20000.0
magneq software,ammerpet,hyderabad,"business analysis,data warehousing,web applications,data science,full stack java,dot net,python,software testing",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,no,yes,3.5,12000.0,30000.0
sv infotech,dilsukhnagar,hyderabad,"java full stack,python full stack,web devalaper,digital marketing,data science,aws",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,no,,4.5,25000.0,35000.0
miit computer education,hayathnagar,hyderabad,"python,core java, devops,dot net,frontend,data science,digital maeketing,web designing,cloud computing,c++ programming",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.0,job placement assistance,no,yes,4.8,40000.0,60000.0
data minds analytics,ammerpet,hyderabad,"python,data science and ai,powerbi,data analytics,digital marketing, cloud computing,block chain",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,4.4,,
emeregent methodology pvt ltd,as rao nagar,hyderabad,"c programming,c++,core java,dot net,ethical hacking,hadops,python",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,2.7,job placement assistance,no,yes,4.0,20000.0,30000.0
creative multimedia academy,dilsukhnagar,hyderabad,"ui , ux ,vfx,animation,web devalopment,graphic design",Yes,Yes,Yes,Yes,freshers and experience,experience,,good,4.0,high profile placement,yes,yes,4.5,10000.0,20000.0
nys innovations,kompally,hyderabad,"python,java,devops data science, data analytics,full stack,ai,aws,cloud computing",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,4.5,30000.0,50000.0
websoft technologies,dilsukhnagar,hyderabad,"data science ,devops,sql,full stack,python,java,aws,",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,average,4.0,job placement assistance,yes,yes,4.5,40000.0,50000.0
genesis it solutions,ammerpet,hyderabad,"advanced java,advanced python,devops,dotnet,cloud computing,cybesecurity,ethical hacking,data science",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,4.0,30000.0,40000.0
coss cloud solutions,dilsukhnagar,hyderabad,"java,python,cloud computing,devops,ethical hacking,aws,online marketing",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,5.0,job placement assistance,yes,yes,4.5,50000.0,70000.0
thanush info solutions,dilsukhnagar,hyderabad,"python,java,aws,devops,digital marketing,oracle,online marketing,website develop,c,c++programming,cyber security",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,average,3.0,job placement assistance,,yes,,20000.0,30000.0
achieversit,kukatpally,hyderabad,"python,java,data science,software testing,software engineering,mcipt",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,4.5,30000.0,40000.0
data pulse infotech,dilsukhnagar,hyderabad,"aws,data science,java,python,web devalopment,ai,business analytics",Yes,Yes,Yes,Yes,freshers and experience,,online and  offline training,good,3.0,job placement assistance,yes,yes,4.8,50000.0,70000.0
v soft it solutions private ltd,kukatpally,hyderabad,"core java,core python,dot net",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,average,3.0,job placement assistance,no,yes,3.0,20000.0,30000.0
future gen technologies,kukatpally,hyderabad,"python,data science ,ai ,machin learning,bim",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,average,3.0,job placement assistance,yes,yes,4.5,40000.0,50000.0
orbit bn reddy,bn reddy nagar,hyderabad,"aws,java,data science ,python,film editing,dot net,animation,oracle",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,average,3.0,job placement assistance,yes,yes,3.0,20000.0,30000.0
bridge q systems,dilsukhnagar,hyderabad,"java,data science ,python,software testing,c programming",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,4.0,30000.0,50000.0
narayana technologies,dilsukhnagar,hyderabad,"data science,java,python,aws,devops,dot net,html,oracle",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,4.5,30000.0,50000.0
kalyan it hub,ammerpet,hyderabad,"aws,devops,data science,python,google cloud",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,4.5,30000.0,40000.0
neoteach software education,nallakunta,hyderabad,"java,python,data stucture,web testing,mysql",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,no,yes,4.0,20000.0,30000.0
risein academy,dilsukhnagar,hyderabad,"java,python,data stucture,data science,web testing,mysql,python",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,,3.0,job placement assistance,yes,yes,3.0,20000.0,30000.0
karan institute,secunderabad,hyderabad,"c programming,sap, website designing,adobe my exel",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,2.0,job placement assistance,yes,yes,3.0,,
7i tech solutions,kukatpally,hyderabad,"java,aws,devops,data science,python,web development,c programing,full stack,ms excl",Yes,Yes,Yes,Yes,freshers and experience,experience,,good,3.0,job placement assistance,yes,yes,4.0,20000.0,30000.0
tecks academy,kukatpally,hyderabad,"java,data science,python,full stack,ms excl,business analytics,digital marketing",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,4.5,30000.0,40000.0
vidyanidhi technologies,nagole,hyderabad,"java,aws,devops,data science,python,c programing,dot net,digital markrting, testing tools",Yes,Yes,Yes,Yes,,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,4.0,20000.0,30000.0
gro career,hitech city,hyderabad,"java,data science,pyth,digital markrting, testing tools,ai ,cloud coumputing, oracle",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,4.5,30000.0,50000.0
tech iq,mehtipatnam,hyderabad,"python,java,my sql,testing tools,oracle",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,2.4,job placement assistance,yes,yes,3.0,20000.0,30000.0
excel logics,ammerpet,hyderabad,"python,devops,net working,ms excel,digital marketing",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,3.5,20000.0,30000.0
sri amsoft technologies,ranga reddy,hyderabad,"java,python,data science,cyber security,deep learning,devops,aws",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,3.8,30000.0,40000.0
uniq india,nallakunta,hyderabad,"devops ,data science,java,python,c programming,cyber security,ai",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,,yes,4.0,30000.0,40000.0
center cadd,kukatpally,hyderabad,"cadd electrical,3d studio max,civil cadd,ansys",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,2.0,job placement assistance,yes,yes,3.5,10000.0,15000.0
orbit technologies research pvt ltd,himayat nagar,hyderabad,"2d animation,website designing,dot net,3d modaling",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,3.0,job placement assistance,yes,yes,3.5,10000.0,15000.0
skulpt technologies pvt ltd,kondapur,hyderabad,"java,devops,python,data science,aws,linux,seo,unix,vba",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.5,job placement assistance,yes,yes,,60000.0,80000.0
cloud soft solution,nizampet,hyderabad,"python,powerbi,cloud competting,aws",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,2.0,job placement assistance,yes,yes,3.5,10000.0,15000.0
star medical coding institute,dilsukhnagar,hyderabad,"cyber security,python,cpc,educational software,madical coding and billing",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,5.0,job placement assistance,yes,yes,4.5,50000.0,60000.0
openminds technologies,ammerpet,hyderabad,"python,java,data science,cyber security,ai",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,4.0,40000.0,50000.0
sk computer education,nizampet,hyderabad,"java,python,devops,aws,linux,c++ programming",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job placement assistance,yes,yes,3.0,20000.0,30000.0
cyberaegis,dilsukhnagar,hyderabad,"aws,devops,data science,python,linux,deep learning,dot net,data mineing",Yes,Yes,Yes,Yes,freshers and experience,experience,,good,3.0,job placement assistance,yes,yes,3.8,30000.0,35000.0
excelr,hitech city,hyderabad,"business analyst,data analyst,data science,power bi,tableau,devops,block chain course,java,python",Yes,Yes,Yes,Yes,freshers and experience,well qualified,online and  offline training,good,3.0,"skills training programs,consulting services,100% job assistance",yes,yes,4.7,20000.0,100000.0
next wave disruptive  technologies private limited,manikonda,hyderabad,"full stack development,machine learning,software development,backened development",Yes,Yes,Yes,Yes,freshers and experience,well qualified,online and  offline training,good,,job placement assistance,yes,yes,3.8,20000.0,30000.0
innomatics research,kukatpally,hyderabad,"python,data analysis,advanced statistics,sql,full sack  development trainings,digital marketing,generative ai",Yes,Yes,Yes,Yes,eligible for every graduate,well qualified,online and  offline training,good,4.0,"mock interviews,placement assistance",yes,yes,4.8,70000.0,15000.0
vcube,kphb,hyderabad,"python full stack,java full stack,data science,data analytics,aws and devops,generative ai",Yes,Yes,Yes,Yes,eligible for every graduate,,online and  offline training,good,3.0,"job assistance,resume builiding",yes,,4.2,10000.0,25000.0
getin technologies,mahadevapura,banglore,"python full stack,java full stack,digital marketing training,wordpress training,digital analytics training,ui/ux training,data analytics,flutter training,aws devops,data science,selenium training,oracle training",Yes,Yes,Yes,Yes,freshers and experience,well qualified,online and  offline training,good,2.5,"mock interviews,placement assistance,assessments",yes,yes,5.0,100000.0,300000.0
besanttechnologies,kuvempu nagar,banglore,"aws,angular js,blueprism training,business analytics,cloud computing,cluster and installation configuration,container setup,data science,data visualization,hadoop,ethical hacking,kubernetes training,excel,powerbi",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.0,"placement assistance,resume building,mock interviews",yes,yes,4.6,,
itvedant education,kuvempu nagar,banglore,"aws,java,python,data analytics,data sience,full stack developer course,machine learning,sql training,tableau",Yes,Yes,Yes,Yes,freshers and experience,well qualified,online and  offline training,good,3.0,"job assistance,resume builiding",yes,yes,4.5,45000.0,100000.0
codemithra,jayanagar,banglore,"aws,data structures,databases,nodejs,python course,selenium,mern full stack,java,app services",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.5,job assistance,yes,yes,4.6,20000.0,50000.0
cambridge infotech,kalyan nagar,banglore,"ai,aws,advanced excel,java,android app development,api testing course,automation testing selenium,azure cloud computing,ccna,ccnc,ccnp,cyber security,data analytics,data management,data science,devops",Yes,Yes,Yes,Yes,freshers and experience,experience,online training,,3.8,job assistance,yes,yes,4.5,12000.0,20000.0
cloudy synergy,jayanagar,banglore,"aws,architect,sap fico,abap,ccna,cloud computing,cloud solution,software testing",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.0,job assistance,yes,yes,4.0,8000.0,15000.0
infocampus,aswath nagar,banglore,"angular training,ai training,python,devops,full stack development course,machine learning,mern stack,node js,php,sofware testing,ui/ux,web design and development",Yes,Yes,Yes,Yes,eligible for every graduate,well qualified,online and  offline training,good,3.5,"weekly test,daily assignments,job assistance",no,yes,4.7,25000.0,40000.0
emexo technologies,electronic city,banglore,"aws devops,big data hadoop,data science,java,mobile development,azure development,python,django,selenium training,spring boot course",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.7,"weekened training, workshops,jobs/soft skill training                                                                                                                                                                                                          ",,yes,4.5,8000.0,15000.0
achieversit,btm layout,banglore,"aws,angular js,apps development,application deploy,automation testing,data science,data binding,digital marketing,full stack courses,hadoop,html saa javascript,machine learning,mean stack development,python,php",Yes,Yes,Yes,Yes,freshers and experience,well qualified,online and  offline training,good,3.0,job assistance,yes,yes,3.7,10000.0,25000.0
vthreesoft technologies,yelahanka town,banglore,"advanced java training,dotnet training,frameworks training,full stack web development,graphic designing,j@ee training,seo servies,web designing",Yes,Yes,Yes,Yes,freshers and experience,experience,online training,good,3.5,100% placement assistance,yes,yes,4.4,15000.0,20000.0
be practical tech solutions,basaveshwar nagar,banglore,"advanced networking,cloud computing,digital marketing,dot net full stack development training,data analysis,data science course,devops,full stack development,mean full stack,mobile app full stack",Yes,Yes,Yes,Yes,,well qualified,online and  offline training,good,4.0,"100% placement assistance,free demo classes,resume building",yes,yes,4.5,20000.0,35000.0
palle technologies,gandhi nagar,banglore,".net core api and angular training,java fullstack,machine learning,python full stack,selenium testing,manual and automation testing,java training,data analytics,poerbi,devops,aws,generative ai",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,3.8,placement guaranted training,yes,yes,4.6,20000.0,45000.0
training institute marathahalli,aswath nagar,banglore,"advance excel course,advanced java training,c and c++,ccna,data analysis,data scienece,deep learning,full stack courses,mis training,manual testing courses,python full stack,sqlselenium classes,tally erp 9 & gst and ui",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.5,job assistance,yes,yes,4.0,30000.0,50000.0
jnana infotech,vijayanagar,banglore,"cadd,java,autocad training,revit course,solidworks course,python,catia classes,3ds max training,c,creo,c++,nx cad,staadpro training,web development",Yes,Yes,Yes,Yes,freshers and experience,experience,,good,3.0,job assistance,yes,yes,4.5,50000.0,75000.0
akshara,marathahalli,banglore,"angular js,bi course,c programming,data science,devops,aws,development training,digital marketing,full stack training,java,macine learning,manual testing,networking training,oracle sql,sap fico,selenium classes,ui,tableau",Yes,Yes,Yes,Yes,eligible for every graduate,well qualified,online and  offline training,good,4.0,"placement assistance,interview support",yes,yes,4.6,15000.0,80000.0
xpresdata software academy,marathahalli,banglore,"ms excel,dig data testing training,etl testing,java full stack,pl sql real time training,python,selenium,aws devops,data analysis,manual testing,machine learning",Yes,Yes,Yes,Yes,eligible for every graduate,well qualified,offline training,average,,job assistance,yes,yes,3.0,15000.0,25000.0
havana yukta solutions,vijayanagar,banglore,"cloud computing,data analytics,data science,digital marketing,graphic designing,python machine learning,web designing,tally prime,sap,ai",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,average,2.7,placement assistance,yes,yes,3.2,25000.0,35000.0
sdlc training,aswath nagar,banglore,"aws devops,andriod training,angular json,app development,auto scaling,azure app service,big data training,block chain training,data science,full stack courses,digital marketing,php,sql,hadoop,react js,sap fico,testing course,selenium testing",Yes,Yes,Yes,Yes,eligible for every graduate,well qualified,offline training,good,3.5,placement assistance,yes,yes,4.0,20000.0,40000.0
mnp technologies,marathahalli,banglore,"application development,cloud services,advanced java course,adobe photoshop course,affiliate marketing course,andriod course,aws and devops,microsoft training courses,mobile technologies application,",Yes,Yes,Yes,Yes,eligible for every graduate,well qualified,offline training,good,3.7,placement assistance,yes,yes,4.5,,
sri hari technologies,marathahalli,banglore,"aws,devops,linux,python,salesforce crm,sap,sap abap ,sap fico,sap mm,sap sd,sql",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,average,2.7,job assistance,yes,yes,3.0,15000.0,30000.0
nfinity infotech,varthur,banglore,"accounting,advanced java,aws,android,angular js,asp dot net,automation testing,big data hadoop,bw on hana,c programming,ccna,data science,dba,devops,python",Yes,Yes,Yes,Yes,eligible for every graduate,experience,online and  offline training,good,3.8,"resume building,100 % placement assistance,daily assesements",yes,yes,,25000.0,40000.0
h source technologies pvt ltd,btm layout,banglore,"aws devops,andriod training,angular json,app development,auto scaling,azure app service,big data training,block chain training,data science,full stack courses,digital marketing,php,sql,hadoop,react js,sap fico,testing course,selenium testing",Yes,Yes,Yes,Yes,eligible for every graduate,well qualified,online training,good,3.5,job assistance,yes,yes,4.2,15000.0,30000.0
merida skill learning academy,jayanagar,banglore,"2d animation,java,python,aws and devops,data analytics,data science",Yes,Yes,Yes,Yes,eligible for every graduate,,online and  offline training,good,3.7,placement assistance,yes,yes,3.7,8000.0,20000.0
cadd centre,jayanagar,banglore,"cadd,java,autocad training,revit course,solidworks course,python,catia classes,3ds max training,c,creo,c++,nx cad,staadpro training,web development",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job assisance,yes,yes,3.5,20000.0,50000.0
nict computer education pvt ltd,jayanagar,banglore,"2d animation,3d animation,3d studio max,accounting,advanced java,animation,c++,digital marketing,dot net,dtp,excel macros,graphics,gst,html,j2ee,javascript,microsoft excel,python,oracle,sap fico,tally",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.7,"daily assesments,job assistance,resume building,workshops",yes,no,3.8,1000.0,10000.0
upskill labs,hsr layout,banglore,"accounting,adobe,aws,basic computes,cloud computing,cnc,hardware networking,java,microsoft excel adavanced,python,tally",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,average,2.0,no placement support,no,no,2.5,2000.0,10000.0
cadspro training centre,vijayanagar,banglore,"animation,graphics,microsoft excel,java,python",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,,3.8,job assisance,no,yes,3.0,10000.0,20000.0
aps learning solutions,ashok nagar,banglore,"data science,network traning,cloud computing,cyber security,aws",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.5,job assisance,yes,,4.0,30000.0,50000.0
algorithms computers,munnekollal,banglore,"data science,c programming,embedded system,software development,python,java",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,4.0,job assisance,yes,yes,3.8,20000.0,30000.0
balc cadd,rajajinagar,banglore,"java,python,c++ programming,dot net,ms excel",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,3.4,job assisance,yes,yes,4.2,20000.0,30000.0
mass education academy,vijayanagar,banglore,"data science,java,python,c programming,ms excel",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,4.0,job assisance,,yes,3.8,30000.0,40000.0
victory academy,ashok nagar,banglore,"banking,competitve exams",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,3.0,job assisance,yes,yes,3.0,20000.0,30000.0
mindex solutions,marathahalli,banglore,"python,data sciencesql,powerbi",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.5,job assisance,yes,yes,4.2,30000.0,50000.0
inspire educational academy,adugodi,banglore,"java,python,c programming,ms excel",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.8,job assisance,yes,yes,3.8,20000.0,30000.0
educadd rr nagar,rajarajeshwari nagar,banglore,"java,python,devops,adobe,cad",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.5,job assisance,yes,yes,3.8,20000.0,30000.0
iway trainings,rajajinagar,banglore,"java,devops,python,data science,dot net,sql",Yes,Yes,Yes,Yes,,experience,online and  offline training,good,3.8,job assisance,yes,yes,4.0,40000.0,50000.0
technogrowth,vijayanagar,banglore,"python,data science,ai,web devalopment,powerbi",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.0,job assisance,yes,yes,3.8,30000.0,50000.0
radical technologies,electronic city,banglore,"java,python,aws,devops,data science,cyber security,oracle",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.4,job assisance,yes,yes,4.0,40000.0,60000.0
educadd kalyan nagar,kalyan nagar,banglore,"python,java,devops,adobe,c programming,sql",Yes,Yes,Yes,Yes,freshers and experience,experience,,good,3.4,job assisance,yes,yes,3.5,20000.0,30000.0
crystal training solutions,ramamurthy nagar,banglore,"aws,java,python,sql,devops,ms excel",Yes,Yes,Yes,Yes,freshers and experience,,online and  offline training,good,3.0,job assisance,yes,yes,3.6,20000.0,30000.0
balc cadd malleswaram,malleswaram,banglore,"java,data science,python,web development,oracle,ms excel",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.0,job assisance,yes,yes,3.7,,
nacc,banashankari,banglore,"java,python,ms excel,powerbi,c++programming",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,3.4,job assisance,yes,,3.0,10000.0,20000.0
master mind learning solutions,electronic city,banglore,"aws,data science,devops,java,python,web development,oracle",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.0,job assisance,yes,yes,4.0,30000.0,50000.0
hackers university apc,m g road,banglore,"aws,data science,java,python,oracle,cyber security",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.4,job assisance,yes,yes,4.2,30000.0,50000.0
stravan technologies,sanjay nagar,banglore,"java,python,data science,ms excel,oracle",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.8,job assisance,yes,yes,3.8,30000.0,40000.0
apc learning solutions,ashoknagar,banglore,"java,aws,data science,devops,python,sql,c++programming",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.0,job assisance,yes,yes,4.3,40000.0,50000.0
